company,page_title,no_views
Amazon,Amazon's_Best_Books_of_the_Year,1
Amazon,Amazon.co.uk,1
Amazon,Amazon.com,3
Amazon,Amazon_(color),1
Amazon,Amazon_(company),120
Amazon,Amazon_(disambiguation),3
Amazon,Amazon_Air,7
Amazon,Amazon_Alexa,11
Amazon,Amazon_Appstore,2
Amazon,Amazon_Basin,1
Amazon,Amazon_Bullseye,1
Amazon,Amazon_Canada_First_Novel_Award,1
Amazon,Amazon_CloudFront,1
Amazon,Amazon_CloudWatch,1
Amazon,Amazon_Drive,1
Amazon,Amazon_Echo,9
Amazon,Amazon_Elastic_Compute_Cloud,6
Amazon,Amazon_Fire,1
Amazon,Amazon_Fire_HD,1
Amazon,Amazon_Fire_TV,3
Amazon,Amazon_Freevee,6
Amazon,Amazon_Fresh,3
Amazon,Amazon_Games,2
Amazon,Amazon_Go,3
Amazon,Amazon_HQ2,5
Amazon,Amazon_Instant_Video,1
Amazon,Amazon_Kindle,20
Amazon,Amazon_Kindle_devices,1
Amazon,Amazon_Lab126,1
Amazon,Amazon_Labor_Union,1
Amazon,Amazon_Lumberyard,8
Amazon,Amazon_Luna,1
Amazon,Amazon_MGM_Studios,17
Amazon,Amazon_MP3,1
Amazon,Amazon_Machine_Image,3
Amazon,Amazon_Marketplace,1
Amazon,Amazon_Mechanical_Turk,1
Amazon,Amazon_Music,1
Amazon,Amazon_Pay,1
Amazon,Amazon_Prime,16
Amazon,Amazon_Prime_Air,1
Amazon,Amazon_Prime_Video,27
Amazon,Amazon_Product_Advertising,2
Amazon,Amazon_Publishing,1
Amazon,Amazon_Q,2
Amazon,Amazon_Rainforest,1
Amazon,Amazon_Rekognition,1
Amazon,Amazon_River,20
Amazon,Amazon_S3,1
Amazon,Amazon_S3_Glacier,1
Amazon,Amazon_SageMaker,3
Amazon,Amazon_Silk,3
Amazon,Amazon_Spheres,2
Amazon,Amazon_Standard_Identification_Number,1
Amazon,Amazon_Stonehenge,1
Amazon,Amazon_Studios,1
Amazon,Amazon_Venture_oil_spill,1
Amazon,Amazon_Video,1
Amazon,Amazon_Virtual_Private_Cloud,1
Amazon,Amazon_Web_Services,41
Amazon,Amazon_basin,4
Amazon,Amazon_miniTV,1
Amazon,Amazon_molly,2
Amazon,Amazon_motoring_show,1
Amazon,Amazon_parrot,2
Amazon,Amazon_rainforest,38
Amazon,Amazon_river,1
Amazon,Amazon_river_dolphin,9
Amazon,Amazon_river_turtle,1
Amazon,Amazon_rubber_boom,1
Amazon,Amazon_weasel,2
Apple,Apple,53
Apple,Apple's_EU_tax_dispute,3
Apple,Apple_&_Onion,1
Apple,Apple_(Mother_Love_Bone_album),4
Apple,Apple_(fruit),1
Apple,Apple_(programming_language),1
Apple,Apple_(song),4
Apple,Apple_A10,5
Apple,Apple_A10X,1
Apple,Apple_A11,1
Apple,Apple_A12,3
Apple,Apple_A12X,1
Apple,Apple_A12Z,1
Apple,Apple_A12_Bionic,1
Apple,Apple_A13,4
Apple,Apple_A14,4
Apple,Apple_A14_Bionic,2
Apple,Apple_A15,8
Apple,Apple_A16,8
Apple,Apple_A16_Bionic,2
Apple,Apple_A17,7
Apple,Apple_A17_Pro,1
Apple,Apple_A18,10
Apple,Apple_A19,17
Apple,Apple_A4,4
Apple,Apple_A6,1
Apple,Apple_A8,4
Apple,Apple_A9,1
Apple,Apple_Account,1
Apple,Apple_Airpods,1
Apple,Apple_Arcade,5
Apple,Apple_Bandai_Pippin,1
Apple,Apple_Bank,1
Apple,Apple_Beer,2
Apple,Apple_Books,3
Apple,Apple_Bottoms,1
Apple,Apple_Boutique,1
Apple,Apple_Brown_Betty,2
Apple,Apple_C1,3
Apple,Apple_Campus,1
Apple,Apple_Campus_2,1
Apple,Apple_Capital_Recreation_Loop_Trail,1
Apple,Apple_CarPlay,1
Apple,Apple_Card,3
Apple,Apple_Cider_Vinegar_(TV_series),5
Apple,Apple_Cinema_Display,1
Apple,Apple_Color_Emoji,1
Apple,"Apple_Computer,_Inc._v._Microsoft_Corp.",2
Apple,Apple_Core_Image,1
Apple,Apple_Corps,5
Apple,Apple_Cup,4
Apple,Apple_Day,1
Apple,Apple_Disk_Image,2
Apple,Apple_Display_Connector,2
Apple,Apple_Event,1
Apple,Apple_File_System,5
Apple,Apple_Fire,4
Apple,Apple_Grab,1
Apple,Apple_Home,2
Apple,Apple_I,14
Apple,Apple_II,8
Apple,Apple_IIGS,3
Apple,Apple_III,2
Apple,Apple_II_(1977_computer),2
Apple,Apple_II_(original),4
Apple,Apple_II_Plus,2
Apple,Apple_II_graphics,1
Apple,Apple_II_peripheral_cards,1
Apple,Apple_II_plus,1
Apple,Apple_IIc,2
Apple,Apple_IIc_Plus,1
Apple,Apple_IIe,6
Apple,Apple_IIe_Card,2
Apple,Apple_ISO_9660_Extensions,1
Apple,Apple_Icon_Image_format,3
Apple,Apple_Image_Capture,1
Apple,Apple_Inc.,87
Apple,Apple_Inc._advertising,1
Apple,Apple_Inc._v._Samsung_Electronics_Co.,3
Apple,Apple_Infinite_Loop_campus,1
Apple,Apple_Intelligence,1
Apple,Apple_Jacks,2
Apple,Apple_Lisa,7
Apple,Apple_Lossless,1
Apple,Apple_Lossless_Audio_Codec,2
Apple,Apple_M1,23
Apple,Apple_M1_Max_and_Pro,1
Apple,Apple_M1_Ultra,1
Apple,Apple_M2,17
Apple,Apple_M3,18
Apple,Apple_M4,65
Apple,Apple_M5,64
Apple,Apple_M_series,1
Apple,Apple_MacOSX,1
Apple,Apple_Mac_Pro,1
Apple,Apple_Maps,1
Apple,Apple_Martin,12
Apple,Apple_Mighty_Mouse,1
Apple,Apple_Monitor_II,1
Apple,Apple_Motion,1
Apple,Apple_Music,10
Apple,Apple_Music_1,2
Apple,Apple_Music_100_Best_Albums,6
Apple,Apple_Music_Up_Next,1
Apple,Apple_N1,1
Apple,Apple_Network_Server,3
Apple,Apple_News,2
Apple,Apple_Newton,2
Apple,Apple_O',2
Apple,Apple_One,1
Apple,Apple_One_subscription_bundle,1
Apple,Apple_Original_Films,2
Apple,Apple_Park,13
Apple,Apple_Pay,6
Apple,Apple_PenLite,1
Apple,Apple_Pencil,3
Apple,Apple_Pencil_(2nd_generation),1
Apple,Apple_Phenomenon,1
Apple,Apple_Pie_ABC,1
Apple,Apple_Pioneer_Place,1
Apple,Apple_Pippin,1
Apple,Apple_Polishing_Cloth,1
Apple,Apple_ProRes,4
Apple,Apple_Push_Notification_service,3
Apple,Apple_Records,4
Apple,Apple_River_(Wisconsin),1
Apple,Apple_River_Fort,1
Apple,Apple_S1,1
Apple,Apple_S4,2
Apple,Apple_Safari,6
Apple,Apple_Silentype,1
Apple,Apple_Silicon,1
Apple,Apple_Software_Update,1
Apple,Apple_Store,5
Apple,Apple_Studio_Display,5
Apple,Apple_Studio_Display_(1998–2004),1
Apple,Apple_Studios,4
Apple,Apple_System_1.0,1
Apple,Apple_System_4,1
Apple,Apple_TV,26
Apple,Apple_TV+,12
Apple,Apple_TV_(disambiguation),1
Apple,Apple_TV_(streaming_service),12
Apple,Apple_TV_app,3
Apple,Apple_Thunderbolt_Display,2
Apple,Apple_Tree_Yard,1
Apple,Apple_University,2
Apple,Apple_University_Consortium,1
Apple,"Apple_Valley,_California",2
Apple,"Apple_Valley,_Minnesota",2
Apple,Apple_Valley_Airport_(California),1
Apple,Apple_Valley_High_School_(California),1
Apple,Apple_Venus_Volume_1,4
Apple,Apple_Vision,1
Apple,Apple_Vision_Pro,34
Apple,Apple_W1,1
Apple,Apple_Wallet,1
Apple,Apple_Watch,20
Apple,Apple_Watch_Series_4,1
Apple,Apple_Watch_Series_7,1
Apple,Apple_Watch_Series_8,2
Apple,Apple_Watch_Ultra,3
Apple,Apple_Watch_health_monitoring_patent_dispute,1
Apple,Apple_Workgroup_Server,1
